Input string,Mapped name,Mapped code,Quarantine?
korea dem ppl s rep,North Korea,KP, 
united rep of tanzania,Tanzania,TZ,
yugoslavia sfr former,Serbia and Montenegro (Former), CS,x
yemen arab rep former,Yemen,YE,
venezuela bolivar rep,Venezuela,VE,
other asia,Asia,RAS,
neth antilles former,Serbia and Montenegro (Former), CS, x
china hong kong sar,China,HK, 
china macao sar,China,MO, 
central african rep,Central African Republic,CF,
ussr former,Serbia and Montenegro (Former), CSRR,
lao people s dem rep, Laos,LA,
ethiopia incl eritrea,Ethiopia,ET,
german dem r former, East Germany , DD,
germany fed r former,Germany,DE,
iran islamic rep of,Iran,IR,
sudan former,Sudan,SD,
yemen dem former,Yemen,YE,
czechoslovakia former,Czechoslovakia, CS,
dem rep of the congo, Democratic Republic of the Congo,CD,
bonaire st eustatius saba,"Bonaire, Saint Eustatius and Saba",BQ,
bolivia plur state of,Bolivia,BO,
